;;;
;;;
Columna1;Título en español;Título original;Fecha de estreno
W;Blanca Nieves y los Siete Enanos / Blancanieves y los siete enanitos;Snow White and the Seven Dwarfs;1937
;;;
;;;
;;;
;Título en español;Título original;Año de estreno
W;Pinocho;Pinocchio;1940
W;Fantasía;Fantasia;
D;El dragón chiflado;The Reluctant Dragon;1941
W;Dumbo;Dumbo;
W;Bambi;Bambi;1942
W;Saludos amigos;Saludos amigos;1943
D;A través de la fuerza aérea a la victoria;Victory Through Air Power;
W;Los tres caballeros;The Three Caballeros;1944
W;Música maestro;Make Mine Music;1946
D;Canción del Sur;Song of the South;
W;Diversión y fantasía / Las aventuras de Bongo, Mickey y las judías mágicas;Fun and Fancy Free;1947
W;Ritmo y melodía / Tiempo de melodía;Melody Time;1948
D;Danny / Dentro de mi corazón;So Dear to My Heart;
W;Las aventuras de Ichabod y el Señor Sapo / La leyenda de Sleepy Hollow y el Señor Sapo;The Adventures of Ichabod and Mr. Toad;1949
;;;
;;;
;;;
;Título en español;Título original;Año de estreno
W;La Cenicienta;Cinderella;1950
D;La isla del tesoro;Treasure Island;
W;Alicia en el país de las maravillas;Alice in Wonderland;1951
D;Los arqueros del rey;The Story of Robin Hood & His Merrie Men;1952
W;Peter Pan;Peter Pan;1953
D;La espada y la rosa;The Sword and the Rose;
D;El desierto viviente;The Living Desert;
D;Rob Roy, el gran rebelde;Rob Roy, the Highland Rogue;1954
D;American Legends;American Legends;
D;La desaparición de las praderas;The Vanishing Prairie;
D;Veinte mil leguas de viaje submarino;20,000 Leagues Under the Sea;
W;La dama y el vagabundo;Lady and the Tramp;1955
D;El León Africano;The African Lion;
D;Pablito y yo;The Littlest Outlaw;
D;Davy Crockett, rey de la frontera;Davy Crockett, King of the Wild Frontier;
D;Héroes de hierro;The Great Locomotive Chase;1956
D;Davy Crockett y los piratas del Mississippi;Davy Crockett and the River Pirates;
D;Secretos de la vida;Secrets of Life;
D;Sobre la pista del Oregón;Westward Ho, the Wagons!;
D;Johnny Tremain;Johnny Tremain;1957
D;Perri;Perri;
D;Fiel amigo;Old Yeller;
