TÍTULO EN ESPAÑOL;TIPO DE PELÍCULA;AÑO DE ESTRENO;CONTENIDO;;
Blanca Nieves y los Siete Enanitos;Animada;1937;Original ;;
Pinocho;Animada;1940;Original ;;
Fantasía;Animada;1940;Original ;;
El dragón chiflado;Animada;1941;Original ;;
Dumbo;Animada;1941;Original ;;
Bambi;Animada;1942;Original ;;
Saludos amigos;Animada;1943;Original ;;
A través de la fuerza aérea a la victoria;Animada;1943;Documental;;
Los tres caballeros;Animada;1944;Original ;;
Música maestro;Animada;1946;Original ;;
Canción del Sur;Animada;1946;Original ;;
Diversión y fantasía;Animada;1947;Spin-Off;;
Ritmo y melodía;Animada;1948;Original ;;
Danny;Animada;1948;Original ;;
La leyenda de Sleepy Hollow y el Señor Sapo;Animada;1949;Original ;;
La Cenicienta;Animada;1950;Original ;;
La isla del tesoro;Imagen real;1950;Original ;;
Alicia en el país de las maravillas;Animada;1951;Original ;;
Los arqueros del rey;Imagen real;1952;Original ;;
Peter Pan;Animada;1953;Original ;;
La espada y la rosa;Aventura;1953;Original ;;
El desierto viviente;Imagen real;1953;Documental;;
Rob Roy el gran rebelde;Imagen real;1954;Original ;;
American Legends;Animación;1954;Original ;;
La desaparición de las praderas;Imagen real;1954;Documental;;
Veinte mil leguas de viaje submarino;Imagen real;1954;Original ;;
La dama y el vagabundo;Animada;1955;Original ;;
El León Africano;Imagen real;1955;Documental;;
Pablito y yo;Imagen real;1955;Original ;;
Davy Crockett rey de la frontera;Imagen real;1955;Spin-Off;;
Héroes de hierro;Imagen real;1956;Original ;;
Davy Crockett y los piratas del Mississippi;Imagen real;1956;Spin-Off;;
Secretos de la vida;Imagen real;1956;Documental;;
Sobre la pista del Oregón;Imagen real;1956;Original ;;
Johnny Tremain;Imagen real;1957;Original ;;
Perri;Imagen real;1957;Documental;;
Fiel amigo;Imagen real;1957;Original ;;
Fulgor en la espesura;Imagen real;1958;Original ;;
Infierno blanco;Imagen real;1958;Original ;;
Tonka en La última batalla del general Custer;Imagen real;1958;Original ;;
La bella durmiente;Animada;1959;Original ;;
El extraño caso de Wilby;Imagen real;1959;Original ;;
Darby el rey de los duendes;Imagen real;1959;Original ;;
El gran pescador;Imagen real;1959;Original ;;
Zorro el vengador;Imagen real;1959;Spin-Off;;
Escalada hacia la muerte;Imagen real;1959;Original ;;
Toby Tyler;Imagen real;1960;Original ;;
Secuestrado;Imagen real;1960;Original ;;
Pollyanna;Imagen real;1960;Original ;;
El signo del Zorro;Imagen real;1960;Spin-Off;;
Rugidos en la selva;Imagen real;1960;Documental;;
Los Diez Osados;Imagen real;1960;Original ;;
Los Robinsones de los Mares del Sur;Imagen real;1960;Original ;;
101 dálmatas;Animada;1961;Original ;;
Un sabio en las nubes;Imagen real;1961;Original ;;
Operación Cupido;Imagen real;1961;Original ;;
Nómadas del Norte;Imagen real;1961;Original ;;
Mi Leal Compañero;Imagen real;1961;Original ;;
El Bosque Sin Retorno;Imagen real;1961;Original ;;
Piloto a la luna;Imagen real;1962;Original ;;
Los conflictos de papá;Mixta;1962;Original ;;
Campeón Rojo;Imagen real;1962;Original ;;
Casi ángeles;Imagen real;1962;Original ;;
La leyenda de Lobo;Imagen real;1962;Original ;;
Los Hijos del Capitán Grant;Imagen real;1962;Original ;;
Sammy la Foca Loca;Imagen real;1962;Original ;;
El sabio en apuros;Imagen real;1963;Spin-Off;;
La fuga de los caballos blancos;Imagen real;1963;Original ;;
Aventura en el Oeste;Imagen real;1963;Original ;;
Magia del verano;Imagen real;1963;Original ;;
El viaje increíble;Imagen real;1963;Original ;;
La Espada en la Piedra;Animada;1963;Original ;;
Un tigre se escapa;Imagen real;1964;Original ;;
Las Desventuras de Merlin Jones;Imagen real;1964;Spin-Off;;
Las tres vidas de Thomasina;Imagen real;1964;Original ;;
Las hilanderas de la luna;Imagen real;1964;Original ;;
Mary Poppins;Mixta;1964;Original ;;
Emilio y los detectives;Imagen real;1964;Original ;;
La familia Calloways;Imagen real;1965;Original ;;
El tío del mono;Imagen real;1965;Original ;;
Un gato del FBI;Imagen real;1965;Original ;;
Operación salchicha;Imagen real;1966;Original ;;
Robinson Crusoe siglo XX;Imagen real;1966;Original ;;
Síganme muchachos;Imagen real;1966;Original ;;
La guerra de las aceitunas;Imagen real;1967;Original ;;
Los Buscadores de Oro;Imagen real;1967;Original ;;
El abuelo está loco;Imagen real;1967;Original ;;
El libro de la selva;Animada;1967;Original ;;
Charlie el puma solitario;Imagen real;1967;Original ;;
El millonario más feliz;Imagen real;1967;Original ;;
El Fantasma de Barbanegra;Imagen real;1968;Original ;;
Una banda loca loca;Imagen real;1968;Original ;;
Mi vida con un vaquero;Imagen real;1968;Original ;;
El caballo ejecutivo;Imagen real;1968;Original ;;
Cupido motorizado;Imagen real;1968;Original ;;
Sospechoso de asesinato;Imagen real;1969;Original ;;
Rascal / Mi amigo Rascal;Imagen real;1969;Original ;;
Mi perro el ladrón;Imagen real;1969;Original ;;
La Computadora Jugadora / Mi cerebro es electrónico;Imagen real;1969;Original ;;
La máscara del Dr. Syn;Imagen real;1969;Original ;;
El rey de los osos;Imagen real;1970;Original ;;
Marineros sin brújula;Imagen real;1970;Original ;;
La tierra de nadie;Imagen real;1970;Original ;;
Los Aristogatos;Animada;1970;Original ;;
El ejecutivo muy mono;Imagen real;1971;Original ;;
Don Quijote del Oeste;Imagen real;1971;Original ;;
La gansa de los huevos de oro / Millonarios por una pata;Imagen real;1971;Original ;;
Travesuras de una bruja / La bruja novata;Mixta;1971;Original ;;
El cazador de galletas / El perro cenicienta;Imagen real;1972;Original ;;
Si no lo veo lo creo / Te veo y no te veo;Imagen real;1972;Original ;;
Napoleón y Samantha;Imagen real;1972;Original ;;
¡Corre Puma corre!;Imagen real;1972;Original ;;
Aventuras en la nieve;Imagen real;1972;Original ;;
El hijo de la jungla;Imagen real;1973;Original ;;
Un ángel para Charly;Imagen real;1973;Original ;;
El pequeño indio / El pequeño fugitivo;Imagen real;1973;Original ;;
Robin Hood;Animada;1973;Original ;;
Superpapá;Imagen real;1973;Original ;;
Herbie un volante loco;Imagen real;1974;Secuela;;
Los osos y yo;Imagen real;1974;Original ;;
Aventurero en Hawai / El cowboy náufrago;Imagen real;1974;Original ;;
La isla del fin del mundo;Imagen real;1974;Original ;;
El hombre más fuerte del mundo;Imagen real;1975;Original ;;
La montaña embrujada;Imagen real;1975;Secuela;;
Los más torpes del Oeste;Imagen real;1975;Original ;;
Se nos ha perdido un dinosaurio;Imagen real;1975;Original ;;
Las mejores aventuras de la naturaleza de Walt Disney;Imagen real;1975;Original ;;
Nuestro pony salvaje;Imagen real;1975;Original ;;
Secuestro simulado;Imagen real;1976;Original ;;
El tesoro de Matecumbe;Imagen real;1976;Original ;;
Gus;Imagen real;1976;Original ;;
Un candidato muy peludo;Imagen real;1976;Original ;;
Viernes loco;Imagen real;1976;Original ;;
Los pequeños ladrones;Imagen real;1977;Original ;;
Las aventuras de Winnie the Pooh / Lo Mejor de Winnie the Pooh;Animada;1977;Spin-Off;;
Historia de dos criaturas;Animada;1977;Original ;;
Bernardo y Bianca / Los rescatadores;Animada;1977;Original ;;
Herbie en el gran prix de Montecarlo;Imagen real;1977;Secuela;;
Pedro y el dragón Elliot;Mixta;1977;Original ;;
El secreto del castillo;Imagen real;1977;Original ;;
Los pequeños extraterrestres;Imagen real;1978;Original ;;
Plomo caliente y pies fríos / La herencia de los Bloodshy;Imagen real;1978;Original ;;
El gato que vino del espacio;Imagen real;1978;Original ;;
Detectives improvisadas;Imagen real;1979;Original ;;
Los Más Torpes Del Oeste 2;Imagen real;1979;Secuela;;
Un astronauta en la corte del rey Arturo;Imagen real;1979;Original ;;
El abismo negro / El agujero negro;Imagen real;1979;Original ;;
The London Connection;Imagen real;1979;Original ;;
Locuras de Medianoche;Imagen real;1980;Original ;;
El observador del bosque / Los Ojos del Bosque;Imagen real;1980;;;
Herbie Torero / Cupido motorizado rumbo a Río;Imagen real;1980;Secuela;;
El último vuelo del Arca de Noé;Imagen real;1980;Original ;;
Popeye;Imagen real;1980;Original ;;
Un Pacto de Mil Demonios;Imagen real;1981;Original ;;
El Secreto de Amy;Imagen real;1981;Original ;;
Verdugo de dragones / El Dragón del Lago de Fuego;Imagen real;1981;Original ;;
El zorro y el sabueso / Tod y Toby;Animada;1981;Original ;;
Condorman;Imagen real;1981;Original ;;
Fuga de noche;Imagen real;1982;Original ;;
Tron;Mixta;1982;Original ;;
Tex;Imagen real;1982;Original ;;
Misterio en Malta / Intriga en Malta;Imagen real;1983;Original ;;
El Carnaval De Las Tinieblas;Imagen real;1983;Original ;;
Los Lobos No Lloran;Imagen real;1983;Original ;;
A través de la oscuridad;Imagen real;1984;Original ;;
Where the Toys Come from;Imagen real;1984;Original ;;
Regreso a Oz / Oz, un mundo fantástico;Imagen real;1985;Secuela;;
El caldero mágico / Taron y el caldero mágico;Animada;1985;Original ;;
Natty Gann;Imagen real;1985;Original ;;
Navidades Mágicas;Imagen real;1985;Original ;; 
Policías y ratones / Basil, el ratón superdetective;Animada;1986;Original ;;
El vuelo del navegante;Imagen real;1986;Original ;;
Benji el Perseguido / Cuatro cachorros para salvar;Imagen real;1987;Secuela;;
La tostadora valiente;Animada;1987;Original ;;
La Saga del Indomable;Imagen real;1988;Spin-Off;;
Oliver y su pandilla;Animada;1988;Original ;;
Querida encogí a los niños / Cariño, He Encogido a los Niños;Imagen real;1989;Original ;;
Cheetah Una Aventura en la Selva;Imagen real;1989;Original ;;
La sirenita;Animada;1989;Original ;;
PatoAventuras - La película: El tesoro de la lámpara perdida;Animada;1990;Spin-Off;;
Bernardo y Bianca en Cangurolandia / Los rescatadores en Cangurolandia;Animada;1990;Secuela;;
Colmillo Blanco;Imagen real;1991;Original ;;
Náufragos;Imagen real;1991;Original ;;
La fuerza del valor;Imagen real;1991;Original ;;
Rocketeer;Imagen real;1991;Original ;;
La bella y la bestia;Animada;1991;Original ;;
La pandilla;Imagen real;1992;Original ;;
Cariño he agrandado al niño / Querida agrandé al bebé;Imagen real;1992;Secuela;;
Somos los mejores / Los campeones;Imagen real;1992;Original ;;
Aladdín;Animada;1992;Original ;;
Los Muppets: Una historia de Navidad;Imagen real;1992;Spin-Off;;
Homeward Bound: The Incredible Journey;Imagen real;1993;Remake ;;
A Far Off Place;Imagen real;1993;Original ;;
