Título en español;Título original;Fecha de estreno;$ Inversión ;$ Recaudación ;;;;;;;;;;;;
Blanca Nieves y los Siete Enanos / Blancanieves y los siete enanitos;Snow White and the Seven Dwarfs;1937;1490000;5228953251;;;;;;;;;;;;
Pinocho;Pinocchio;1940;2600000;2188229052;;;;;;;;;;;;
Fantasía;Fantasia;1940;2280000;2187090808;;;;;;;;;;;;
El dragón chiflado;The Reluctant Dragon;1941;600000;;;;;;;;;;;;;
Dumbo;Dumbo;1941;950000;112,581;;;;;;;;;;;;
Bambi;Bambi;1942;858000;267,447,150;;;;;;;;;;;;
Saludos amigos;Saludos amigos;1943;;;;;;;;;;;;;;
A través de la fuerza aérea a la victoria;Victory Through Air Power;1943;788000;;;;;;;;;;;;;
Los tres caballeros;The Three Caballeros;1944;;;;;;;;;;;;;;
Música maestro;Make Mine Music;1946;1350000;;;;;;;;;;;;;
Canción del Sur;Song of the South;1946;2125000;1078510579;;;;;;;;;;;;
Diversión y fantasía / Las aventuras de Bongo, Mickey y las judías mágicas;Fun and Fancy Free;1947;;;;;;;;;;;;;;
Ritmo y melodía / Tiempo de melodía;Melody Time;1948;1500000;;;;;;;;;;;;;
Danny / Dentro de mi corazón;So Dear to My Heart;1948;1500000;;;;;;;;;;;;;
Las aventuras de Ichabod y el Señor Sapo / La leyenda de Sleepy Hollow y el Señor Sapo;The Adventures of Ichabod and Mr. Toad;1949;;3,542,500;;;;;;;;;;;;
La Cenicienta;Cinderella;1950;2900000;920608730;;;;;;;;;;;;
La isla del tesoro;Treasure Island;1950;1800000;4,419,657;;;;;;;;;;;;
Alicia en el país de las maravillas;Alice in Wonderland;1951;3000000;1,246;;;;;;;;;;;;
Los arqueros del rey;The Story of Robin Hood & His Merrie Men;1952;;;;;;;;;;;;;;
Peter Pan;Peter Pan;1953;4000000;87,405,849;;;;;;;;;;;;
La espada y la rosa;The Sword and the Rose;1953;2000000;;;;;;;;;;;;;
El desierto viviente;The Living Desert;;300000;;;;;;;;;;;;;
Rob Roy, el gran rebelde;Rob Roy, the Highland Rogue;1954;1800000;;;;;;;;;;;;;
American Legends;American Legends;1954;;;;;;;;;;;;;;
La desaparición de las praderas;The Vanishing Prairie;1954;;;;;;;;;;;;;;
Veinte mil leguas de viaje submarino;20,000 Leagues Under the Sea;1954;5000000;528279994;;;;;;;;;;;;
La dama y el vagabundo;Lady and the Tramp;1955;4000000;1236035515;;;;;;;;;;;;
El León Africano;The African Lion;1955;;;;;;;;;;;;;;
Pablito y yo;The Littlest Outlaw;1955;;;;;;;;;;;;;;
Davy Crockett, rey de la frontera;Davy Crockett, King of the Wild Frontier;1955;;;;;;;;;;;;;;
Héroes de hierro;The Great Locomotive Chase;1956; 2,500,000;;;;;;;;;;;;;
Davy Crockett y los piratas del Mississippi;Davy Crockett and the River Pirates;1956;;;;;;;;;;;;;;
Secretos de la vida;Secrets of Life;1956;;;;;;;;;;;;;;
Sobre la pista del Oregón;Westward Ho, the Wagons!;1956;;;;;;;;;;;;;;
Johnny Tremain;Johnny Tremain;1957;700000;;;;;;;;;;;;;
Perri;Perri;1957;;;;;;;;;;;;;;
Fiel amigo;Old Yeller;1957;;;;;;;;;;;;;;
Fulgor en la espesura;The Light in the Forest;1958;;;;;;;;;;;;;;
Infierno blanco;White Wilderness;1958;;;;;;;;;;;;;;
Tonka en La última batalla del general Custer;Tonka;1958;;;;;;;;;;;;;;
La bella durmiente;Sleeping Beauty;1959;6000000;21505832;;;;;;;;;;;;
El extraño caso de Wilby;The Shaggy Dog;1959;;;;;;;;;;;;;;
Darby, el rey de los duendes;Darby O'Gill and the Little People;1959;;;;;;;;;;;;;;
El gran pescador;The Big Fisherman;1959;;;;;;;;;;;;;;
La venganza del Zorro;Zorro the Avenger;1959;;;;;;;;;;;;;;
Escalada hacia la muerte;Third Man on the Mountain;1959;;;;;;;;;;;;;;
Toby Tyler;Toby Tyler;1960;;;;;;;;;;;;;;
Secuestrado;Kidnapped;1960;;;;;;;;;;;;;;
Pollyanna;Pollyanna;1960;;;;;;;;;;;;;;
El signo del Zorro;The Sign of Zorro;1960;;;;;;;;;;;;;;
Rugidos en la selva;Jungle Cat;1960;;;;;;;;;;;;;;
Los Diez Osados;Ten Who Dared;1960;;;;;;;;;;;;;;
Los Robinsones de los Mares del Sur;Swiss Family Robinson;1960;4000000; 40,359,745;;;;;;;;;;;;
101 dálmatas;101 Dalmatians;1961;3600000;1362870985;;;;;;;;;;;;
Un sabio en las nubes;The Absent-Minded Professor;1961;2000000;310094574;;;;;;;;;;;;
Operación Cupido / Tú a Boston y yo a California;The Parent Trap;1961;1500000;229141013;;;;;;;;;;;;
Nómadas del Norte;Nikki, Wild Dog of the North;1961;;;;;;;;;;;;;;
Mi Leal Compañero;Greyfriars Bobby;1961;;721,203;;;;;;;;;;;;
