Título en Inglés;Año de estreno;Original / Secuela ;Recaudación
The Avengers;2012;Original;1.520.538.536
Iron Man 3;2013;Secuela;1.215.577.205
Thor: The Dark World;2013;Secuela;644.783.140
Captain America: The Winter Soldier;2014;Secuela;714.766.572
Guardians of the Galaxy;2014;Original;773.350.376
Avengers: Age of Ultron;2015;Secuela;1.405.018.048
Ant-Man;2015;Original;519.311.965
Captain America: Civil War;2016;Secuela;1.155.046.416
Doctor Strange;2016;Original;677.796.833
Guardians of the Galaxy 2;2017;Secuela;863.764.214
Thor: Ragnarok;2017;Secuela;855.301.806
Black Panther;2018;Original;1.349.926.083
Avengers: Infinity War;2018;Secuela ;2.052.415.039
Ant-Man and the Wasp;2018;Secuela;622.674.139
Captain Marvel;2019;Original;1.131.416.446
Avengers: Endgame;2019;Secuela;2.799.439.100
Black Widow;2021;Precuela;379.751.655
Shang-Chi and the Legend of the Ten Rings;2021;Original;432.243.292
Eternals;2021;Original;402.064.899
Doctor Strange in the Mulverse of Madness;2022;Secuela;955.775.804
Thor: Love and Thunder;2022;Secuela;760.928.081
Black Panther: Wakanda Forever;2022;Secuela;859.208.836
Ant-Man and the Wasp: Quantumania;2023;Secuela;476.071.180
Guardians of the Galaxy Vol.3;2023;Secuela;845.555.777
The Marvels;2023;Secuela;206.136.825
Deadpool & Wolverine;2024;Secuela;1.338.073.645
Captain America: Brave New World;2025;Secuela;415.101.577
Thunderbolts;2025;Original;382.436.917
Fantastic Four: First Steps;2025;Original;521.858.728
