Título en español;Título original;Fecha de estreno;$ Recaudación 
Blanca Nieves y los Siete Enanos / Blancanieves y los siete enanitos;Snow White and the Seven Dwarfs;1937;5228953251
Pinocho;Pinocchio;1940;2188229052
Fantasía;Fantasia;1940;2187090808
El dragón chiflado;The Reluctant Dragon;1941;
Dumbo;Dumbo;1941;112581
Bambi;Bambi;1942;267447150
Saludos amigos;Saludos amigos;1943;
A través de la fuerza aérea a la victoria;Victory Through Air Power;1943;
Los tres caballeros;The Three Caballeros;1944;
Música maestro;Make Mine Music;1946;
Canción del Sur;Song of the South;1946;1078510579
Diversión y fantasía / Las aventuras de Bongo, Mickey y las judías mágicas;Fun and Fancy Free;1947;
Ritmo y melodía / Tiempo de melodía;Melody Time;1948;
Danny / Dentro de mi corazón;So Dear to My Heart;1948;
Las aventuras de Ichabod y el Señor Sapo / La leyenda de Sleepy Hollow y el Señor Sapo;The Adventures of Ichabod and Mr. Toad;1949;3542500
La Cenicienta;Cinderella;1950;920608730
La isla del tesoro;Treasure Island;1950;4419657
Alicia en el país de las maravillas;Alice in Wonderland;1951;1246
Los arqueros del rey;The Story of Robin Hood & His Merrie Men;1952;
Peter Pan;Peter Pan;1953;87405849
La espada y la rosa;The Sword and the Rose;1953;
El desierto viviente;The Living Desert;;
Rob Roy, el gran rebelde;Rob Roy, the Highland Rogue;1954;
American Legends;American Legends;1954;
La desaparición de las praderas;The Vanishing Prairie;1954;
Veinte mil leguas de viaje submarino;20,000 Leagues Under the Sea;1954;528279994
La dama y el vagabundo;Lady and the Tramp;1955;1236035515
El León Africano;The African Lion;1955;
Pablito y yo;The Littlest Outlaw;1955;
Davy Crockett, rey de la frontera;Davy Crockett, King of the Wild Frontier;1955;
Héroes de hierro;The Great Locomotive Chase;1956;
Davy Crockett y los piratas del Mississippi;Davy Crockett and the River Pirates;1956;
Secretos de la vida;Secrets of Life;1956;
Sobre la pista del Oregón;Westward Ho, the Wagons!;1956;
Johnny Tremain;Johnny Tremain;1957;
Perri;Perri;1957;
Fiel amigo;Old Yeller;1957;
Fulgor en la espesura;The Light in the Forest;1958;
Infierno blanco;White Wilderness;1958;
Tonka en La última batalla del general Custer;Tonka;1958;
La bella durmiente;Sleeping Beauty;1959;21505832
El extraño caso de Wilby;The Shaggy Dog;1959;
Darby, el rey de los duendes;Darby O'Gill and the Little People;1959;
El gran pescador;The Big Fisherman;1959;
La venganza del Zorro;Zorro the Avenger;1959;
Escalada hacia la muerte;Third Man on the Mountain;1959;
Toby Tyler;Toby Tyler;1960;
Secuestrado;Kidnapped;1960;
Pollyanna;Pollyanna;1960;
El signo del Zorro;The Sign of Zorro;1960;
Rugidos en la selva;Jungle Cat;1960;
Los Diez Osados;Ten Who Dared;1960;
Los Robinsones de los Mares del Sur;Swiss Family Robinson;1960;40359745
101 dálmatas;101 Dalmatians;1961;1362870985
Un sabio en las nubes;The Absent-Minded Professor;1961;310094574
Operación Cupido / Tú a Boston y yo a California;The Parent Trap;1961;229141013
Nómadas del Norte;Nikki, Wild Dog of the North;1961;
Mi Leal Compañero;Greyfriars Bobby;1961;721203
El Bosque Sin Retorno;Babes in Toyland;1961;124841160
Piloto a la luna;Moon Pilot;1962;
Los conflictos de papá;Bon Voyage!;1962;109581646
Campeón Rojo / El campeón;Big Red;1962;
Casi ángeles;Almost Angels;1962;
La leyenda de Lobo;The Legend of Lobo;1962;
Los Hijos del Capitán Grant;In Search of the Castaways;1962;
Sammy la Foca Loca;Sammy the Way Out Seal;1962;
El sabio en apuros;Son of Flubber;1963;
La fuga de los caballos blancos;Miracle of the White Stallions;1963;
Aventura en el Oeste;Savage Sam;1963;
Magia del verano;Summer Magic;1963;
El viaje increíble;The Incredible Journey;1963;
La Espada en la Piedra / Merlín el Encantador;The Sword in the Stone;1963;153870834
Un tigre se escapa;A Tiger Walks;1964;
Las Desventuras de Merlin Jones;The Misadventures of Merlin Jones;1964;
Las tres vidas de Thomasina;The Three Lives of Thomasina;1964;
Las hilanderas de la luna / La bahía de las esmeraldas;The Moon-Spinners;1964;
Mary Poppins;Mary Poppins;1964;103127195
Emilio y los detectives;Emil and the Detectives;1964;
La familia Calloways;Those Calloways;1965;
El tío del mono;The Monkey's Uncle;1965;
Un gato del FBI;That Darn Cat!;1965;
Operación salchicha / Los perros de mi mujer;The Ugly Dachshund;1966;
