TÍTULO;TIPO;AÑO;CONTENIDO
Pesos pesados;Imagen real;1995;Original 
Man of the House;Imagen real;1995;Original 
La leyenda de Pecos Bill;Imagen real;1995;Original 
Goofy, la película / Goofy e hijo;Animada;1995;Spin-Off
Pocahontas;Animada;1995;Original 
Operación elefante;Imagen real;1995;Original 
Aventuras en la corte del Rey Arturo / Un niño en la corte del Rey Arturo;Imagen real;1995;Original 
El gran equipo;Imagen real;1995;Original 
Frank y Ollie: Los magos de Disney;Imagen real;1995;Secuela
Toy Story;Animada;1995;Original 
Tom and Huck;Imagen real;1995;Original 
Los Muppets en la isla del tesoro / Los Teleñecos en la Isla del Tesoro;Imagen real;1996;Spin-Off
Volviendo a casa 2: perdidos en San Francisco;Imagen real;1996;Secuela
James y el melocotón gigante/ Jim y el durazno gigante;Mixta;1996;Original 
El jorobado de Notre Dame;Animada;1996;Original 
First Kid;imagen real;1996;Original 
El regreso de los mejores / Los campeones 3;Imagen real;1996;Secuela
Aladdín y el rey de los ladrones / Aladdín y los 40 ladrones;Animada;1996;Secuela
101 dálmatas: ¡Ahora la magia es real! / 101 dálmatas: ¡Más vivos que nunca!;Imagen real;1996;Remake 
Un gato del FBI;Imagen real;1997;Remake 
Jungle 2 Jungle;Imagen real;1997;Remake 
Hércules;Animada;1997;Original 
George de la selva / George de la jungla;Imagen real;1997;Original 
Air Bud;Imagen real;1997;Original 
RocketMan / El astronauta;Imagen real;1997;Original 
Flubber;Imagen real;1997;Remake 
Mr. Magoo;Imagen real;1997;Remake 
La bella y la bestia 2: Una Navidad Encantada;Animada;1997;Secuela
Vaya par de locos / Locura en el campamento;Imagen real;1998;Original 
El mundo mágico de Bella;Animada;1998;Spin-Off
Mulán;Animada;1998;Original 
Pocahontas 2: Viaje a un Nuevo Mundo;Animada;1998;Secuela
El rey león 2;Animada;1998;Secuela
Juego de Gemelas / Tú a Londres y yo a California;Imagen real;1998;Remake 
Air Bud 2: el fichaje de la liga;Imagen real;1998;Secuela
I'll Be Home for Christmas;Imagen real;1998;Original 
Bichos: Una aventura en miniatura;Animada;1998;Original 
Mi Gran Amigo Joe;Imagen real;1998;Remake 
Mi marciano favorito;Imagen real;1999;Remake 
Doug: La película / Doug: Su 1ª película;Animada;1999;Spin-Off
Endurance;Imagen real;1999;Original 
Tarzán;Animada;1999;Original 
Inspector Gadget;Imagen real;1999;Remake 
The Straight Story;Imagen real;1999;Original 
La mano detrás del ratón: la historia de Ub Iwerks;Imagen real;1999;Documental
Mickey celebra la Navidad / Mickey descubre la Navidad;Animada;1999;Spin-Off
Toy Story 2;Animada;1999;Secuela
Fantasía 2000;Animada;2000;Secuela
La película de Tigger;Animada;2000;Spin-Off
Aventura elefantástica;Imagen real;2000;Secuela
